<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.25	18:45:00	3736.02	3736.02	3733.04	3735.87	1185	0	14
2025.09.25	19:00:00	3735.88	3742.71	3735.07	3742.31	1297	0	11
2025.09.25	19:15:00	3742.31	3742.58	3735.36	3737.83	1209	0	7
2025.09.25	19:30:00	3737.84	3738.28	3734.39	3735.25	1155	0	5
2025.09.25	19:45:00	3735.26	3735.57	3732.74	3733.84	1103	0	9
2025.09.25	20:00:00	3733.79	3740.85	3732.41	3740.68	1127	0	5
2025.09.25	20:15:00	3740.72	3743.14	3737.08	3739.82	1399	0	10
2025.09.25	20:30:00	3739.70	3742.24	3738.28	3740.47	1166	0	5
2025.09.25	20:45:00	3740.46	3744.11	3739.30	3741.81	1041	0	5
2025.09.25	21:00:00	3741.87	3745.30	3736.56	3739.31	1244	0	6
2025.09.25	21:15:00	3738.28	3750.81	3737.82	3750.29	1278	0	6
2025.09.25	21:30:00	3750.48	3757.40	3748.90	3755.53	1241	0	5
2025.09.25	21:45:00	3755.51	3758.21	3753.26	3755.17	1257	0	14
2025.09.25	22:00:00	3755.22	3756.63	3751.54	3755.13	1192	0	6
2025.09.25	22:15:00	3755.21	3756.01	3750.95	3751.66	1098	0	7
2025.09.25	22:30:00	3751.66	3752.34	3744.70	3747.38	1278	0	5
2025.09.25	22:45:00	3747.38	3750.89	3745.81	3746.55	1210	0	5
2025.09.25	23:00:00	3746.68	3749.60	3746.07	3749.43	790	0	10
2025.09.25	23:15:00	3749.42	3750.47	3748.24	3748.88	696	0	12
2025.09.25	23:30:00	3748.90	3750.96	3748.89	3750.72	568	0	11
2025.09.25	23:45:00	3750.76	3752.50	3749.01	3749.05	696	0	7
