time,open,high,low,close,tick_volume,spread,real_volume,ema20,ema50,atr,vwap,hour
2025-10-20 14:00:00,24876.8,24884.2,24874.6,24883.2,370,100,0,24893.519954974352,24903.139148313985,9.542857142857299,24906.63621174402,14
2025-10-20 14:01:00,24883.5,24890.2,24882.5,24887.5,288,100,0,24892.946625929177,24902.525848380104,8.90714285714291,24906.595944998084,14
2025-10-20 14:02:00,24887.5,24893.6,24885.2,24893.1,249,100,0,24892.96123298354,24902.156207267162,8.807142857142805,24906.571436802133,14
2025-10-20 14:03:00,24893.5,24894.8,24890.7,24892.5,264,100,0,24892.917306032727,24901.77753247237,8.471428571428467,24906.544396241094,14
2025-10-20 14:04:00,24892.2,24894.2,24887.1,24888.7,235,100,0,24892.515657839132,24901.26468806169,8.15714285714291,24906.51392425298,14
2025-10-20 14:05:00,24888.7,24891.7,24884.7,24891.6,206,100,0,24892.42845233064,24900.885680686722,7.435714285714182,24906.491632685622,14
2025-10-20 14:06:00,24891.2,24896.7,24888.0,24889.2,228,100,0,24892.120980680105,24900.427418699008,7.192857142857195,24906.463074248444,14
2025-10-20 14:07:00,24889.5,24896.2,24886.0,24894.8,235,100,0,24892.37612537724,24900.206735612774,7.271428571428779,24906.443254149024,14
2025-10-20 14:08:00,24895.0,24896.0,24893.3,24895.0,218,100,0,24892.626018198454,24900.00254990247,6.971428571428987,24906.42524277451,14
2025-10-20 14:09:00,24895.3,24901.0,24893.8,24899.5,248,100,0,24893.280683131932,24899.98284206316,7.064285714286078,24906.41286477213,14
2025-10-20 14:10:00,24899.7,24902.6,24898.5,24899.3,202,100,0,24893.85395140508,24899.956063943035,6.850000000000104,24906.40252459463,14
2025-10-20 14:11:00,24899.2,24902.1,24893.0,24897.5,206,100,0,24894.201194128407,24899.859747709976,7.050000000000052,24906.389345999884,14
2025-10-20 14:12:00,24898.5,24906.0,24895.2,24906.0,227,100,0,24895.3248899257,24900.10054191743,7.342857142857091,24906.38871192227,14
2025-10-20 14:13:00,24906.1,24909.8,24903.5,24906.5,223,100,0,24896.38918612325,24900.35150105792,7.357142857142857,24906.388889684746,14
2025-10-20 14:14:00,24906.6,24907.6,24905.0,24906.8,187,100,0,24897.38069220675,24900.604383369377,6.857142857142597,24906.389439611987,14
