time,open,high,low,close,tick_volume,spread,real_volume
2025-10-13 01:00:00,24509.4,24566.0,24507.6,24559.0,275,100,0
2025-10-13 01:01:00,24554.1,24561.3,24527.3,24546.6,492,100,0
2025-10-13 01:02:00,24548.8,24550.5,24515.3,24515.3,425,100,0
2025-10-13 01:03:00,24516.1,24571.8,24514.1,24550.5,470,100,0
2025-10-13 01:04:00,24551.1,24561.0,24502.4,24513.0,432,100,0
2025-10-13 01:05:00,24511.6,24522.9,24452.9,24484.8,393,0,0
2025-10-13 01:06:00,24486.9,24515.1,24436.3,24499.3,435,100,0
2025-10-13 01:07:00,24499.5,24506.1,24470.1,24504.3,334,100,0
2025-10-13 01:08:00,24504.5,24515.9,24503.9,24509.4,269,100,0
2025-10-13 01:09:00,24509.3,24527.8,24505.6,24508.1,220,100,0
2025-10-13 01:10:00,24507.9,24518.4,24505.3,24512.8,171,100,0
2025-10-13 01:11:00,24512.9,24514.9,24487.8,24494.4,194,100,0
2025-10-13 01:12:00,24494.1,24496.6,24487.3,24496.3,129,100,0
2025-10-13 01:13:00,24496.6,24497.6,24473.9,24492.3,214,100,0
2025-10-13 01:14:00,24492.6,24507.0,24491.5,24506.5,116,100,0
2025-10-13 01:15:00,24506.9,24553.0,24506.9,24538.4,343,70,0
2025-10-13 01:16:00,24539.0,24551.1,24534.3,24539.8,206,100,0
2025-10-13 01:17:00,24539.6,24540.1,24521.4,24522.5,162,100,0
2025-10-13 01:18:00,24522.6,24546.6,24521.8,24541.3,170,100,0
2025-10-13 01:19:00,24540.8,24540.8,24521.8,24530.0,142,100,0
2025-10-13 01:20:00,24530.3,24546.1,24525.0,24543.8,154,100,0
2025-10-13 01:21:00,24543.8,24545.0,24539.1,24542.8,136,100,0
2025-10-13 01:22:00,24541.6,24556.8,24537.4,24555.8,140,100,0
2025-10-13 01:23:00,24556.1,24559.8,24546.6,24546.6,232,100,0
2025-10-13 01:24:00,24546.1,24548.5,24533.6,24544.8,188,100,0
2025-10-13 01:25:00,24544.9,24545.8,24536.9,24543.6,137,100,0
2025-10-13 01:26:00,24543.0,24543.1,24510.6,24518.3,213,100,0
2025-10-13 01:27:00,24518.0,24532.4,24518.0,24527.3,138,100,0
2025-10-13 01:28:00,24527.4,24529.4,24511.1,24511.5,165,100,0
2025-10-13 01:29:00,24512.0,24519.5,24501.6,24509.8,160,100,0
2025-10-13 01:30:00,24510.3,24524.1,24506.1,24506.4,158,100,0
2025-10-13 01:31:00,24506.4,24534.1,24505.4,24533.1,142,100,0
2025-10-13 01:32:00,24532.9,24534.3,24516.0,24518.9,133,100,0
2025-10-13 01:33:00,24518.5,24529.4,24516.1,24518.0,77,100,0
2025-10-13 01:34:00,24518.1,24518.4,24507.9,24512.6,103,100,0
