time,open,high,low,close,tick_volume,spread,real_volume,ema20,ema50,atr,vwap,hour
2025-10-27 14:00:00,25673.3,25676.0,25671.7,25672.5,225,100,0,25674.18794838038,25679.6945286815,4.014285714285767,25623.82917991167,14
2025-10-27 14:01:00,25672.7,25682.7,25672.7,25680.9,187,100,0,25674.82719139177,25679.74180206654,4.435714285714441,25623.939113505512,14
2025-10-27 14:02:00,25681.3,25682.7,25679.2,25680.7,187,100,0,25675.386506497314,25679.77937845609,4.307142857143065,25624.04823987829,14
2025-10-27 14:03:00,25680.5,25686.4,25680.5,25684.4,191,100,0,25676.244934449955,25679.96057930095,4.392857142857403,25624.166519593276,14
2025-10-27 14:04:00,25684.2,25686.4,25682.9,25684.3,168,100,0,25677.012083549962,25680.1307526617,4.36428571428587,25624.27000153651,14
2025-10-27 14:05:00,25683.9,25686.3,25680.3,25682.8,192,100,0,25677.56331368806,25680.235429027907,4.435714285714441,25624.384887085085,14
2025-10-27 14:06:00,25682.5,25684.2,25680.2,25681.2,153,100,0,25677.909664765386,25680.27325534054,4.371428571428884,25624.473615392486,14
2025-10-27 14:07:00,25680.8,25682.5,25677.5,25678.0,153,100,0,25677.918268121062,25680.184108072284,4.535714285714546,25624.557077341724,14
2025-10-27 14:08:00,25678.2,25688.2,25676.0,25687.3,165,100,0,25678.811766395247,25680.463162657685,5.064285714286078,25624.662406397543,14
2025-10-27 14:09:00,25687.2,25688.8,25685.2,25688.4,167,100,0,25679.724931500463,25680.774411180915,5.107142857143117,25624.770518511014,14
2025-10-27 14:10:00,25688.2,25691.2,25687.5,25690.9,150,100,0,25680.789223738513,25681.17149309539,5.042857142857299,25624.871116069186,14
2025-10-27 14:11:00,25691.0,25697.9,25690.9,25696.8,197,100,0,25682.31405957294,25681.7843757191,5.314285714285818,25625.014534118764,14
2025-10-27 14:12:00,25696.7,25698.2,25694.2,25694.9,187,100,0,25683.51272056599,25682.298713926193,5.371428571428623,25625.14655466771,14
2025-10-27 14:13:00,25694.2,25696.8,25693.2,25696.7,145,100,0,25684.768651940656,25682.863470242813,5.464285714285714,25625.251213509007,14
2025-10-27 14:14:00,25696.7,25698.4,25693.4,25695.2,124,100,0,25685.762113660596,25683.34725572349,5.514285714285767,25625.33859840015,14
2025-10-27 14:15:00,25694.9,25695.7,25687.9,25691.0,193,100,0,25686.260959978634,25683.647363342174,5.342857142857091,25625.466024474386,14
2025-10-27 14:16:00,25691.3,25691.3,25686.5,25688.5,191,100,0,25686.47420188543,25683.83766281895,5.435714285714182,25625.586851929933,14
2025-10-27 14:17:00,25688.7,25693.0,25688.7,25692.2,149,100,0,25687.019515991582,25684.165597610365,5.335714285714078,25625.68631339502,14
2025-10-27 14:18:00,25692.4,25693.9,25691.2,25692.0,137,100,0,25687.493847801907,25684.472829076625,5.278571428571273,25625.77722860462,14
2025-10-27 14:19:00,25691.8,25692.9,25689.4,25691.8,121,100,0,25687.903957535058,25684.760169112837,5.099999999999844,25625.85707703228,14
2025-10-27 14:20:00,25691.5,25694.9,25691.5,25692.8,165,100,0,25688.370247293624,25685.07545659861,5.057142857142805,25625.96729698448,14
2025-10-27 14:21:00,25692.9,25693.0,25689.9,25690.7,142,100,0,25688.592128503755,25685.296026928077,4.921428571428415,25626.058891346835,14
2025-10-27 14:22:00,25690.9,25695.2,25690.7,25692.7,107,100,0,25688.983354360542,25685.586378813252,4.371428571428363,25626.12986870791,14
2025-10-27 14:23:00,25692.8,25697.2,25692.7,25696.8,105,100,0,25689.727796802395,25686.026128663714,4.435714285714182,25626.20365324957,14
2025-10-27 14:24:00,25696.7,25699.2,25693.4,25696.4,130,100,0,25690.363244725977,25686.432947147492,4.585714285714078,25626.29427595387,14
2025-10-27 14:25:00,25696.4,25696.4,25689.7,25690.5,127,100,0,25690.376269037788,25686.592439416218,4.564285714285559,25626.375150012427,14
2025-10-27 14:26:00,25690.7,25690.7,25688.9,25689.4,120,100,0,25690.28329103419,25686.70253983127,4.40714285714265,25626.450071821317,14
2025-10-27 14:27:00,25689.2,25690.8,25688.9,25690.2,107,100,0,25690.275358554743,25686.839695132003,4.285714285714026,25626.517574120284,14
2025-10-27 14:28:00,25690.0,25690.9,25689.2,25689.8,104,100,0,25690.230086311436,25686.95578551898,4.049999999999792,25626.582635730978,14
