date,time,open,high,low,close,tickvol,volume,spread,timestamp,ema20,ema50,atr,vwap
2025.10.13,01:00:00,24509.4,24566.0,24507.6,24559.0,275,0,100,2025-10-13 01:00:00,24559.0,24559.0,,24559.0
2025.10.13,01:01:00,24554.1,24561.3,24527.3,24546.6,492,0,100,2025-10-13 01:01:00,24557.819047619047,24558.513725490197,,24551.04589308996
2025.10.13,01:02:00,24548.8,24550.5,24515.3,24515.3,425,0,100,2025-10-13 01:02:00,24553.769614512472,24556.819069588622,,24538.30092281879
2025.10.13,01:03:00,24516.1,24571.8,24514.1,24550.5,470,0,100,2025-10-13 01:03:00,24553.45822265414,24556.57126293809,,24541.75072202166
2025.10.13,01:04:00,24551.1,24561.0,24502.4,24513.0,432,0,100,2025-10-13 01:04:00,24549.60505859184,24554.862585960127,,24535.819340974213
2025.10.13,01:05:00,24511.6,24522.9,24452.9,24484.8,393,0,0,2025-10-13 01:05:00,24543.43314824976,24552.115033569535,,24527.757177322077
2025.10.13,01:06:00,24486.9,24515.1,24436.3,24499.3,435,0,100,2025-10-13 01:06:00,24539.22999127359,24550.043855782493,,24523.52073921971
2025.10.13,01:07:00,24499.5,24506.1,24470.1,24504.3,334,0,100,2025-10-13 01:07:00,24535.903325438012,24548.24997908514,,24521.549078624077
2025.10.13,01:08:00,24504.5,24515.9,24503.9,24509.4,269,0,100,2025-10-13 01:08:00,24533.37919920582,24546.726450493567,,24520.621957446805
2025.10.13,01:09:00,24509.3,24527.8,24505.6,24508.1,220,0,100,2025-10-13 01:09:00,24530.971656424314,24545.211687729112,,24519.886355140185
2025.10.13,01:10:00,24507.9,24518.4,24505.3,24512.8,171,0,100,2025-10-13 01:10:00,24529.241022479142,24543.940641151497,,24519.576915219608
2025.10.13,01:11:00,24512.9,24514.9,24487.8,24494.4,194,0,100,2025-10-13 01:11:00,24525.92282986208,24541.99787091026,,24518.38851581508
2025.10.13,01:12:00,24494.1,24496.6,24487.3,24496.3,129,0,100,2025-10-13 01:12:00,24523.101607970453,24540.20579754123,,24517.716324604855
2025.10.13,01:13:00,24496.6,24497.6,24473.9,24492.3,214,0,100,2025-10-13 01:13:00,24520.168121497074,24538.327138814126,38.2928571428573,24516.494879856273
2025.10.13,01:14:00,24492.6,24507.0,24491.5,24506.5,116,0,100,2025-10-13 01:14:00,24518.866395640212,24537.07901572338,35.22857142857148,24516.24112497264
2025.10.13,01:15:00,24506.9,24553.0,24506.9,24538.4,343,0,70,2025-10-13 01:15:00,24520.726738912574,24537.130819028345,36.12142857142862,24517.78845684039
2025.10.13,01:16:00,24539.0,24551.1,24534.3,24539.8,206,0,100,2025-10-13 01:16:00,24522.543239968516,24537.23549279194,34.80714285714281,24518.674423602966
2025.10.13,01:17:00,24539.6,24540.1,24521.4,24522.5,162,0,100,2025-10-13 01:17:00,24522.539121876278,24536.657630329515,32.02142857142826,24518.791799242423
2025.10.13,01:18:00,24522.6,24546.6,24521.8,24541.3,170,0,100,2025-10-13 01:18:00,24524.325872173777,24536.839684042083,29.6071428571426,24519.493889908255
2025.10.13,01:19:00,24540.8,24540.8,24521.8,24530.0,142,0,100,2025-10-13 01:19:00,24524.866265300083,24536.571461138476,25.99999999999974,24519.760675965663
2025.10.13,01:20:00,24530.3,24546.1,24525.0,24543.8,154,0,100,2025-10-13 01:20:00,24526.669478128646,24536.854933250692,21.878571428571117,24520.40495997215
2025.10.13,01:21:00,24543.8,24545.0,24539.1,24542.8,136,0,100,2025-10-13 01:21:00,24528.205718306872,24537.088073123217,19.72857142857122,24520.92276436586
2025.10.13,01:22:00,24541.6,24556.8,24537.4,24555.8,140,0,100,2025-10-13 01:22:00,24530.83374513479,24537.821874177207,20.257142857142494,24521.73359349053
2025.10.13,01:23:00,24556.1,24559.8,24546.6,24546.6,232,0,100,2025-10-13 01:23:00,24532.33529321719,24538.16611440555,19.61428571428535,24522.656044131752
2025.10.13,01:24:00,24546.1,24548.5,24533.6,24544.8,188,0,100,2025-10-13 01:24:00,24533.522408148885,24538.426266781804,19.742857142856728,24523.30228190003
2025.10.13,01:25:00,24544.9,24545.8,24536.9,24543.6,137,0,100,2025-10-13 01:25:00,24534.482178801372,24538.629158280557,18.442857142856415,24523.72495820033
2025.10.13,01:26:00,24543.0,24543.1,24510.6,24518.3,213,0,100,2025-10-13 01:26:00,24532.941018915528,24537.831936387203,20.13571428571361,24523.554829210832
2025.10.13,01:27:00,24518.0,24532.4,24518.0,24527.3,138,0,100,2025-10-13 01:27:00,24532.403779018812,24537.418919273983,19.47142857142821,24523.629408369405
2025.10.13,01:28:00,24527.4,24529.4,24511.1,24511.5,165,0,100,2025-10-13 01:28:00,24530.412942921783,24536.40249106716,19.671428571428415,24523.347329105
2025.10.13,01:29:00,24512.0,24519.5,24501.6,24509.8,160,0,100,2025-10-13 01:29:00,24528.44980550066,24535.359256123353,17.628571428571377,24523.048559614057
2025.10.13,01:30:00,24510.3,24524.1,24506.1,24506.4,158,0,100,2025-10-13 01:30:00,24526.349824024408,24534.223599020475,17.714285714285715,24522.693713746117
2025.10.13,01:31:00,24506.4,24534.1,24505.4,24533.1,142,0,100,2025-10-13 01:31:00,24526.992697926846,24534.17953631379,18.428571428571427,24522.889305095956
2025.10.13,01:32:00,24532.9,24534.3,24516.0,24518.9,133,0,100,2025-10-13 01:32:00,24526.22196479096,24533.58033881129,17.964285714285715,24522.820291363158
2025.10.13,01:33:00,24518.5,24529.4,24516.1,24518.0,77,0,100,2025-10-13 01:33:00,24525.438920525154,24532.969345132416,17.52142857142878,24522.772491951055
